Santacruz,,,07:43,,,,,
Vileparle,,,07:46,,,,,
Andheri,,,07:50,,,,,
Jogeshwari,,,07:54,,,,,
Ram Mandir,,,07:57,,,,,
Goregaon,,,08:01,,,,,
GTB Nagar,07:18,07:22,,07:32,07:36,07:40,07:44,
Chunabhatti,07:21,07:25,,07:35,07:39,07:43,07:47,
Kurla,07:24,07:28,,07:38,07:42,07:46,07:50,
Tilaknagar,07:27,07:31,,07:41,07:45,07:49,07:53,
Chembur,07:29,07:33,,07:43,07:47,07:51,07:55,
Govandi,07:32,07:36,,07:46,07:50,07:54,07:58,
Mankhurd,07:35,07:39,,07:49,07:53,07:57,08:01,
Vashi,07:44,07:48,,07:58,08:02,08:06,08:10,
Sanpada,07:46,07:50,,08:00,,08:08,08:12,
Juinagar,07:49,07:53,,08:03,,08:11,08:15,
Nerul,07:53,07:57,,08:07,,08:15,08:19,
Seawood Darave,07:56,08:00,,08:10,,08:18,08:22,
Belapur CBD,08:00,08:04,,08:14,,08:22,08:26,
Kharghar,08:04,08:08,,08:18,,08:26,08:30,
Mansarovar,08:07,08:11,,08:21,,08:29,08:33,
Khandeshwar,08:10,08:14,,08:24,,08:32,08:36,
Panvel,08:15,08:19,,08:29,,08:37,08:41,
,,,,,,,,
Train No.,98049,98309,98503,98717,98051,98903,98311,
CSMT,07:26,07:30,,07:36,07:40,,07:48,
Masjid,07:29,07:33,,07:39,07:43,,07:51,
Sandhurst Road,07:32,07:36,,07:42,07:46,,07:54,
Dockyard Road,07:34,07:38,,07:44,07:48,,07:56,
Reay Road,07:36,07:40,,07:46,07:50,,07:58,
Cotton Green,07:38,07:42,,07:48,07:52,,08:00,
Sewri,07:41,07:45,,07:51,07:55,,08:03,
Vadala Road,07:44,07:48,07:54,07:54,07:58,08:02,08:06,
King's Circle,,,,07:58,,08:09,,
Mahim Jn,,,,08:01,,08:12,,
Bandra,,,,08:05,,08:16,,
Khar Road,,,,08:09,,08:21,,
Santacruz,,,,08:12,,08:24,,
Vileparle,,,,08:15,,08:27,,
Andheri,,,,08:19,,08:31,,
Jogeshwari,,,,08:23,,08:35,,
Ram Mandir,,,,08:26,,08:38,,
Goregaon,,,,08:30,,08:43,,
GTB Nagar,07:49,07:53,07:59,,08:03,07:48,08:11,
Chunabhatti,07:52,07:56,08:02,,08:06,07:45,08:14,
Kurla,07:55,07:59,08:05,,08:09,07:42,08:17,
Tilaknagar,07:58,08:02,08:08,,08:12,07:39,08:20,
Chembur,08:00,08:04,08:10,,08:14,07:36,08:22,
Govandi,08:03,08:07,08:13,,08:17,07:34,08:25,
Mankhurd,08:06,08:10,08:16,,08:20,07:31,08:28,
Vashi,08:15,08:19,08:25,,08:29,07:23,08:37,
Sanpada,08:17,08:21,,,08:31,07:21,08:39,
Juinagar,08:20,08:24,,,08:34,07:18,08:42,
Nerul,08:24,08:28,,,08:38,07:15,08:46,
Seawood Darave,08:27,08:31,,,08:41,07:12,08:49,
Belapur CBD,08:31,08:35,,,08:45,07:08,08:53,
Kharghar,08:35,,,,08:49,07:04,,
Mansarovar,08:38,,,,08:52,07:01,,
Khandeshwar,08:41,,,,08:55,06:58,,
Panvel,08:47,,,,09:00,06:53,,
,,,,,,,,
Train No.,98815,98902,98053,98055,98719,98313,98057,98505
CSMT,07:51,,07:56,08:00,08:04,,08:08,08:12
